,year,month,location,fatalities,cat
6741,1977,JAN,London-Heathrow ...,0.0,1
1075,1992,JAN,Batumi-Chorokh A...,0.0,1
18619,2014,JAN,"near Petreasa, Alba",2.0,1
5498,1997,JAN,Kananga Airport ...,0.0,1
9279,2014,JAN,Paris-Charles de...,0.0,1
4260,1980,JAN,Grande-RiviÃ¨re-...,9.0,1
851,1973,JAN,Baltimore/Washin...,0.0,1
12616,1980,JAN,Vientiane-Wattay...,0.0,1
8783,2006,JAN,Norman Wells Air...,0.0,1
19570,1992,JAN,near Saranac Lake-Adi...,2.0,1
5006,2014,JAN,Ilulissat Airpor...,0.0,1
203,1980,JAN,"Alameda-NAS, CA ...",0.0,1
4498,2002,JAN,Hakodate Airport...,0.0,1
1878,1997,JAN,"Bullhead City, AZ",0.0,1
14202,1980,JAN,near Bogor,11.0,1
10774,1980,JAN,Santa Ana-Yacuma...,0.0,1
17273,2002,JAN,near Luena,5.0,1
17815,1997,JAN,"near Monroe, MI",29.0,1
8287,1997,JAN,Muscatine Airpor...,0.0,1
5428,1980,JAN,Kabul Airport (KBL),1.0,1
12509,2019,JAN,Uvalde-Ox Ranch ...,0.0,1
15311,1992,JAN,"near Dutch Harbor, AK",0.0,1
10318,2019,JAN,"Rouyn Airport, Q...",0.0,1
9180,1980,JAN,Palermo-Punta Ra...,0.0,1
20523,1992,JAN,near Turbo,0.0,1
936,1980,JAN,Banjarmasin-Sjam...,0.0,1
15252,1992,JAN,near Dominica-Cane Fi...,2.0,1
3421,2014,JAN,Eastern Afghanistan,3.0,1
9096,1973,JAN,Oslo-Fornebu Air...,0.0,1
6443,2014,JAN,Las Vegas-McCarr...,0.0,1
9204,1980,JAN,"Palmyra Island, ...",0.0,1
15341,1973,JAN,near Edmonton Interna...,5.0,1
19924,1980,JAN,near Sri Racha,5.0,1
20904,2019,JAN,near WhatÃ¬/Lac La Ma...,2.0,1
3571,1992,JAN,Elmira Regional ...,0.0,1
9952,1980,JAN,Quito-Mariscal S...,0.0,1
20459,2014,JAN,near Trier-FÃ¶hren Ai...,4.0,1
1148,1980,JAN,Beirut Internati...,0.0,2
2784,1992,JAN,CorumbÃ¡ Interna...,0.0,1
18789,2006,JAN,"near Port Alberni, BC",3.0,1
13205,1980,JAN,Zomba Air Base,2.0,1
10508,2014,JAN,Saltillo-Plan de...,0.0,1
8054,2014,JAN,Moskva-Domodedov...,0.0,1
11074,2020,JAN,Shamattawa Airpo...,0.0,1
19981,1992,JAN,near Strasbourg-Entzh...,87.0,1
12668,1992,JAN,"VizcaÃ­no, MulegÃ©",0.0,1
19799,1992,JAN,near Sinj,5.0,1
12544,1973,JAN,Vancouver Intern...,0.0,1
5226,2014,JAN,Jaipur Internati...,0.0,1
2514,2002,JAN,Chilpancingo Air...,4.0,1
2094,2006,JAN,Cap Haitien Airp...,0.0,1
12196,1980,JAN,Toul-RosiÃ¨res A...,0.0,1
8537,1997,JAN,Nelson Airport (...,0.0,1
18325,2014,JAN,near Olive Creek,2.0,1
156,1980,JAN,Ahmedabad Airpor...,0.0,1
10257,1980,JAN,Roma-Fiumicino A...,0.0,1
4539,1980,JAN,Hampton-Langley ...,0.0,1
4608,1980,JAN,Havana,0.0,1
16196,2002,JAN,near Ipiales,94.0,1
9387,2002,JAN,Pekanbaru-Sultan...,0.0,1
19198,2014,JAN,near Roskilde Airport...,0.0,1
7786,2006,JAN,Minocqua-Noble F...,0.0,1
10906,2006,JAN,Sault Ste Marie ...,0.0,1
7463,2006,JAN,Mbuji-Mayi Airpo...,0.0,1
2060,1980,JAN,Camiare,0.0,1
9852,2006,JAN,Puerto JimÃ©nez ...,0.0,1
18776,1973,JAN,near Pontianak Airpor...,4.0,1
15337,1997,JAN,near Edenton Municipa...,2.0,1
9193,2019,JAN,Palma de Mallorc...,0.0,1
18865,1992,JAN,near Prato,4.0,1
1529,1980,JAN,BogotÃ¡-Eldorado...,4.0,1
7082,1992,JAN,Madras Airport (...,0.0,1
3966,1997,JAN,Fukuoka Airport ...,0.0,1
8861,1997,JAN,Nuevo Laredo Int...,0.0,1
665,2014,JAN,Atlanta-William ...,0.0,1
2555,1997,JAN,Chokurdah Airpor...,0.0,1
12784,1980,JAN,Warszawa-Okecie ...,0.0,1
2251,2002,JAN,Cerro El Tigre,26.0,1
21045,2002,JAN,near Yokyakarta,1.0,1
14620,2002,JAN,near Cartagena,0.0,1
7072,2014,JAN,Madinah-Mohammad...,0.0,1
10026,1993,JAN,Recife-Guararape...,0.0,1
7884,1979,JAN,Molodezhnaya,3.0,1
5533,2005,JAN,Kansas City-Char...,0.0,1
12807,2002,JAN,Washington-Dulle...,0.0,1
4729,1993,JAN,Hibbing-Chisholm...,0.0,1
3045,1993,JAN,Delhi-Indira Gan...,0.0,1
3155,1996,JAN,Detroit-Metropol...,0.0,1
2406,1979,JAN,Cherbourg-Mauper...,0.0,1
5157,1979,JAN,"ItacajÃ¡, TO",0.0,1
11717,2015,JAN,Tacloban Airport...,0.0,1
5036,1979,JAN,"Inigok Airport, AK",0.0,1
10373,1973,JAN,Sachs Harbour Ai...,0.0,1
4524,2015,JAN,Hamburg-FuhlsbÃ¼...,0.0,1
12831,2002,JAN,Waterville-Rober...,0.0,1
12259,1979,JAN,Tripoli,0.0,1
14342,1993,JAN,"near Bronson Creek, BC",2.0,1
9437,2005,JAN,"Perth Airport, W...",0.0,1
16130,2005,JAN,near Iasi Airport (IAS),2.0,1
4562,1996,JAN,Harare Airport (...,0.0,1
12273,2015,JAN,Tripoli-Mitiga I...,0.0,1
13046,2003,JAN,Yacuiba Airport ...,0.0,1
4173,2005,JAN,Goa-Dabolim Airp...,0.0,1
18632,1973,JAN,"near Petukhovo, Bolsh...",39.0,1
14429,1979,JAN,near BÃ©char-Leger Ai...,14.0,1
877,2005,JAN,Banda Aceh-Blang...,0.0,1
5855,1993,JAN,Kinshasa-N'Dolo ...,9.0,1
7740,1979,JAN,Milano-Malpensa ...,0.0,1
7119,2015,JAN,Magadan-Sokol Ai...,0.0,1
10859,2003,JAN,Santo Domingo-He...,0.0,1
10305,2005,JAN,Rothera Station,0.0,1
866,1993,JAN,Bambu Airport (BCP),0.0,1
2291,1996,JAN,Chachapoyas Airp...,0.0,1
10278,1973,JAN,Rondonopolis Air...,0.0,1
36,1993,JAN,Abidjan-Felix Ho...,0.0,1
14024,1979,JAN,near Belgorod Airport...,3.0,1
4112,2019,JAN,Georgetown-Ogle ...,0.0,1
7745,1996,JAN,Miles City Munic...,0.0,1
20267,1980,JAN,near Tehran-Mehrabad ...,128.0,1
6679,2005,JAN,Logan-Cache Airp...,0.0,1
4710,2005,JAN,Helsinki-Vantaa ...,0.0,1
11039,1997,JAN,Sept-Ãles Airpo...,0.0,1
9926,1993,JAN,"Quebec Airport, ...",0.0,2
740,2014,JAN,Aweil Airport,0.0,1
11455,2014,JAN,Stephenville Int...,0.0,1
16616,2006,JAN,near Kharkov Airport ...,3.0,1
8608,1979,JAN,New York-John F....,0.0,1
19755,1997,JAN,near Shushenskoye,0.0,1
16220,1979,JAN,near Isfahan,5.0,1
11354,1979,JAN,"Southbay, FL",0.0,1
19598,2014,JAN,"near Savannah, GA",0.0,1
17734,1979,JAN,near Minsk-1 Internat...,13.0,1
9636,1973,JAN,Pontianak-Supadi...,0.0,1
10916,2019,JAN,Savonlinna Airpo...,0.0,1
15736,1973,JAN,near Glasgow,4.0,1
19173,1979,JAN,near Rodez Airport (RDZ),5.0,1
18377,2006,JAN,near Orumiyeh,11.0,1
15895,1973,JAN,near Guiyang,29.0,1
1146,1979,JAN,Beirut Internati...,0.0,1
2200,1979,JAN,Catalina Island-...,0.0,1
11125,1979,JAN,Shenyang,0.0,1
5716,2019,JAN,Khanty-Mansiysk ...,0.0,1
4467,1993,JAN,Gwangju (Kwangju...,0.0,1
11668,2015,JAN,SÃ£o Paulo-Congo...,0.0,1
19388,1979,JAN,near San Borja,0.0,1
7224,1979,JAN,Managua-Las Merc...,0.0,1
11847,1979,JAN,"Taos Airport, NM...",0.0,1
20522,2005,JAN,near Tura,9.0,1
4820,2014,JAN,Honiara-Henderso...,0.0,1
421,2005,JAN,Andahuaylas Airp...,0.0,1
16436,2019,JAN,"near Kake, AK",3.0,1
3734,2019,JAN,Fat'h Airport,15.0,1
9543,1979,JAN,Pisa-Arturo dell...,0.0,1
19905,1997,JAN,near Sparrevohn Airpo...,1.0,1
13402,2014,JAN,near Addis Ababa-Bole...,0.0,1
5518,1973,JAN,Kano Internation...,176.0,1
11561,1993,JAN,Surabaya-Juanda ...,0.0,1
13558,1993,JAN,near Altamira Airport...,3.0,1
196,1993,JAN,Al Taqaddum Air ...,0.0,1
21046,1997,JAN,near Yola Airport (YOL),5.0,1
2450,1980,JAN,Chicago-Merrill ...,2.0,1
18595,1982,JAN,near Pensacola Region...,1.0,1
2777,1982,JAN,Corpus Christi N...,0.0,1
18105,2007,JAN,"near Nenana, AK",0.0,1
9002,2002,JAN,Omsk Airport (OMS),0.0,1
16134,1972,JAN,near Ibiza Airport (IBZ),104.0,1
6141,1998,JAN,KÃ¸benhavn-Kastr...,0.0,1
479,2020,JAN,Antalya Airport ...,0.0,1
6600,1991,JAN,Lima Internation...,1.0,1
6729,1972,JAN,London-Gatwick A...,0.0,1
2737,1982,JAN,Constanta Airpor...,7.0,1
15705,1982,JAN,near Gelendzhik,18.0,1
1009,1982,JAN,Barranquilla-Ern...,0.0,1
14099,1972,JAN,near Betania,39.0,1
19042,1991,JAN,near Ras Al Khafji,14.0,1
18218,1982,JAN,near Noumea-Tontouta ...,7.0,1
2951,1982,JAN,Damascus Interna...,0.0,1
6616,1998,JAN,Limbang Airport ...,0.0,1
14211,1972,JAN,near BogotÃ¡-Eldorado...,20.0,1
9916,1991,JAN,Qadisiyah Air Ba...,0.0,1
237,1998,JAN,Alghero-Fertilia...,0.0,1
5347,2007,JAN,Johannesburg-O.R...,0.0,1
1639,1991,JAN,Bourgas Airport ...,0.0,1
12005,1998,JAN,Thandwe Airport ...,16.0,1
1480,2013,JAN,Bloemspruit Air ...,0.0,1
3685,1972,JAN,Fairbanks Intern...,0.0,1
7435,1972,JAN,Maun Airport (MUB),0.0,1
3083,2013,JAN,Denver Internati...,0.0,1
5311,2007,JAN,Jelenia GÃ³ra Ai...,0.0,2
4750,1991,JAN,Ho Chi Minh City...,0.0,1
18062,1982,JAN,near Narsarsuaq,2.0,1
7257,2020,JAN,Manda Bay-Camp S...,2.0,2
14756,1972,JAN,near Chetumal,23.0,1
12491,1972,JAN,Usisya,0.0,1
7285,1972,JAN,Manila Internati...,0.0,1
8368,2007,JAN,N'Djamena Airpor...,0.0,1
9362,2007,JAN,Pau-Uzein Airpor...,1.0,1
8020,2020,JAN,Morristown Munic...,0.0,1
6315,1972,JAN,"Lake City, FL",0.0,1
6433,1972,JAN,Las Vegas-McCarr...,0.0,1
5911,1991,JAN,Kobenhavn-Kastru...,0.0,1
9374,1982,JAN,Pearl Harbor Cha...,0.0,1
9018,1982,JAN,Opa-locka Airpor...,0.0,1
11422,2007,JAN,St. Moritz-Samed...,0.0,1
945,1990,JAN,"Banten Bay, Java...",9.0,1
7468,1990,JAN,"McCharen Field, ...",0.0,1
7758,2007,JAN,Milwaukee-Genera...,0.0,1
20869,1982,JAN,near Washington-Natio...,78.0,1
1613,1982,JAN,Boston-Logan Int...,2.0,1
1925,1982,JAN,BÃ¡csbokod,0.0,1
10855,1990,JAN,Santo Domingo,0.0,1
11132,1982,JAN,Shevchenko,0.0,1
13400,1982,JAN,near Addis Ababa,73.0,1
6851,2007,JAN,Los Angeles-Van ...,2.0,1
8173,1990,JAN,Mount Rinjani,19.0,1
4486,1990,JAN,"Hagerstown, MD",0.0,1
18614,1990,JAN,near Pervouralsk,27.0,1
4407,2002,JAN,GuayaramerÃ­n Ai...,0.0,1
18471,2007,JAN,near Pambauang,102.0,1
9865,1998,JAN,Puerto Plata-La ...,0.0,1
2926,1972,JAN,Dallas-Love Fiel...,0.0,1
18583,2013,JAN,near Pellston Regiona...,1.0,1
10540,1998,JAN,Samsun Airport (...,0.0,1
14009,2002,JAN,near Beef Island,0.0,1
13397,1972,JAN,near Adana Airport (ADA),1.0,1
7656,1982,JAN,Miami Internatio...,0.0,1
12360,1991,JAN,Tuz Khurmatu Air...,0.0,1
15643,2020,JAN,near Friemersheim,3.0,1
20727,1972,JAN,near Victoria County-...,9.0,1
1800,1991,JAN,Bucharest-Otopen...,0.0,1
7943,2020,JAN,Monterrey-Aeropu...,0.0,1
15707,2020,JAN,near Geneina Airport ...,18.0,1
8121,2013,JAN,Mount Elizabeth,3.0,1
6653,1991,JAN,Little Vermillio...,0.0,1
15847,2007,JAN,near Guadalajara-Migu...,2.0,1
9856,1998,JAN,Puerto LimÃ³n Ai...,0.0,1
19249,2020,JAN,near Sabashahr,176.0,1
1113,1991,JAN,"Beckley Airport,...",0.0,1
17446,1980,JAN,near Mandalay Airport...,43.0,1
19708,2020,JAN,near Sharana FOB,2.0,1
20191,1998,JAN,near Tampico-Gen F Ja...,3.0,1
3948,1992,JAN,Friedrichshafen ...,0.0,1
15879,1981,JAN,near Guatemala City-L...,6.0,1
4651,1972,JAN,Havana-JosÃ© Mar...,0.0,1
20557,1997,JAN,"near Uberaba Airport,...",0.0,1
21083,2002,JAN,near ZaldÃ­var,3.0,1
3248,1997,JAN,Djerba-Zarzis Ai...,0.0,1
